,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
0,1,12,20,0.6,0,2,0,1,3,0.333,2,4,9,4,0,2,3,25,24.7,-9,0,-14,42.8333333,18.83013699
1,2,8,17,0.471,1,5,0.2,4,7,0.571,2,10,8,1,0,7,1,21,14.7,-3,0,-9,40.35,18.83287671
2,3,6,14.8,0.407,1,2.3,0.444,2.3,3.5,0.643,1.3,4.5,5.9,1.1,1,3.5,1.9,15.3,10.7,0.8,0,-19,39.1666667,18.83835616
3,4,3,11.5,0.261,0,1.5,0,1.5,1.5,1,1,6.5,6.5,2,1.5,2,2,7.5,8.1,-12,0,-4,41.1,18.84931507
4,5,8,18,0.444,1,2,0.5,6,7,0.857,0,5,3,0,0,7,2,23,9,-7,0,-1,43.7333333,18.85479452
5,6,8,19,0.421,0,0,,1,4,0.25,5,3,9,1,1,2,1,17,15.7,14,1,13,44.5,18.85753425
6,7,7,12,0.583,3,3,1,0,0,,1,4,4,1,1,2,0,17,15.8,20,1,14,9.65,18.8630137
7,8,6,15,0.4,2,5,0.4,4,6,0.667,1,2,7,2,1,4,3,18,12.8,-4,0,-5,42.6666667,18.86849315
8,9,3,12,0.25,2,4,0.5,2,4,0.5,1,4,3,0,0,4,3,10,0.8,-1,0,-9,35.6,18.8739726
9,10,10,19,0.526,0,1,0,2,4,0.5,0,5,8,1,2,5,2,22,15.6,8,1,3,46.95,18.87671233
10,11,6,16,0.375,0,2,0,2,4,0.5,2,5,8,0,1,3,2,14,9.8,1,1,8,39.4166667,18.88493151
11,12,10,18,0.556,2,4,0.5,6,8,0.75,2,5,8,2,1,4,2,28,25,-5,0,-11,39.15,18.88767123
12,13,8,19,0.421,0,2,0,3,3,1,2,7,2,1,0,1,4,19,12.2,-5,0,-14,35.3,18.89315068
13,14,3,16,0.188,0,1,0,9,10,0.9,2,4,4,2,1,3,1,15,9.3,-6,0,-9,42.3,18.89589041
14,15,5,17,0.294,1,4,0.25,4,4,1,2,6,9,0,0,4,1,15,10.2,-13,0,-10,38.8,18.90684932
15,16,2,8,0.25,0,2,0,2,3,0.667,0,2,7,0,0,4,3,6,1.1,-10,0,-4,36.45,18.91232877
16,17,14,28,0.5,3,6,0.5,2,3,0.667,2,14,7,1,1,8,1,33,22.4,-10,0,-7,54.6833333,18.91506849
17,18,6,19,0.316,2,3,0.667,5,7,0.714,3,3,5,2,0,2,4,19,12.2,-12,0,-12,32.5166667,18.92328767
18,19,2,13,0.154,0,3,0,0,0,,4,2,8,2,0,5,2,4,0.9,3,0,-10,34.0833333,18.9260274
19,20,4,12,0.333,0,2,0,0,0,,1,5,5,2,1,3,2,8,5.8,-5,1,10,36.0666667,18.93424658
20,21,7,16,0.438,0,0,,4,4,1,0,5,3,1,0,2,2,18,11.4,-2,0,-7,37.05,18.94246575
21,22,8,21,0.381,1,3,0.333,6,8,0.75,1,2,9,1,1,4,3,23,14.8,9,1,9,42.7666667,18.94794521
22,23,10,20,0.5,1,5,0.2,16,18,0.889,1,2,4,0,0,2,2,37,27.5,-2,0,-7,45.4166667,18.95342466
23,24,10,16,0.625,0,3,0,7,8,0.875,1,3,6,3,3,6,1,27,23.9,-12,0,-10,43.6666667,18.95890411
24,25,7,19,0.368,2,4,0.5,1,2,0.5,0,1,3,0,0,2,2,17,5.7,-9,0,-4,36,18.96438356
25,26,14,24,0.583,5,7,0.714,3,3,1,1,3,5,4,0,4,1,36,29.5,9,1,7,41.6833333,18.96986301
26,27,11,22,0.5,0,5,0,10,12,0.833,1,5,10,2,2,4,2,32,28,9,1,8,41.7333333,18.97260274
27,28,7,22,0.318,1,6,0.167,7,8,0.875,2,4,2,6,1,5,1,22,14.3,9,1,11,39.1666667,18.98082192
28,29,13,28,0.464,4,10,0.4,4,5,0.8,1,1,6,2,1,8,0,34,19.1,-9,0,-12,47.1,18.98630137
29,30,7,24,0.292,1,4,0.25,3,4,0.75,1,2,4,1,2,5,0,18,5.1,-12,0,-7,34.3333333,18.9890411
30,31,15,23,0.652,0,2,0,2,2,1,3,7,9,3,0,5,1,32,30,11,1,12,39.0833333,18.99452055
31,32,9,20,0.45,0,4,0,4,6,0.667,2,8,4,0,0,4,2,22,12.6,-2,0,-3,38.1166667,19
32,33,6,19,0.316,0,4,0,2,4,0.5,1,3,9,1,0,3,2,14,7.4,-14,0,-15,36.0666667,19.00821918
33,34,6,17,0.353,0,2,0,2,2,1,0,4,10,1,1,4,1,14,10,10,1,11,41.4166667,19.01917808
34,35,10,23,0.435,0,3,0,1,2,0.5,0,2,5,0,0,2,3,21,9.4,-2,0,-6,38.2333333,19.02191781
35,36,7,19,0.368,0,3,0,5,7,0.714,0,3,6,3,0,5,1,19,10.4,-30,0,-25,42.2166667,19.02739726
36,37,6,20,0.3,0,3,0,4,5,0.8,1,4,7,1,1,6,3,16,5.3,3,0,-10,36.4333333,19.03561644
37,38,11,26,0.423,0,1,0,5,6,0.833,4,5,9,2,0,4,2,27,20.6,11,1,8,43.9,19.03835616
38,39,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,3,0,2,0,29,24.5,-14,0,-17,43.4166667,19.04383562
39,40,12,28,0.429,2,4,0.5,3,5,0.6,1,6,2,2,1,4,2,29,15.2,8,1,6,44.4166667,19.04931507
40,41,7,19,0.368,1,2,0.5,1,2,0.5,0,5,3,0,2,3,4,16,5.5,-10,1,1,29.9666667,19.0739726
41,42,10,25,0.4,0,1,0,7,10,0.7,0,5,4,2,1,1,1,27,17.9,2,1,1,44.4,19.07945205
42,43,7,25,0.28,1,6,0.167,5,8,0.625,2,6,3,1,0,5,5,20,3.4,3,0,-6,37.2833333,19.08493151
43,44,14,27,0.519,1,2,0.5,9,11,0.818,3,3,4,0,2,6,4,38,23.5,0,1,4,43.4,19.09041096
44,45,5,19,0.263,0,1,0,2,2,1,1,3,6,2,0,1,2,12,6.7,-1,1,3,38.1833333,19.09589041
45,46,12,26,0.462,4,4,1,4,5,0.8,0,4,4,0,0,0,0,32,22.2,-2,0,-5,43.0833333,19.09863014
46,47,6,18,0.333,1,3,0.333,1,4,0.25,1,8,5,0,0,3,2,14,5.4,-16,0,-11,44.5833333,19.10410959
47,48,6,16,0.375,0,0,,2,2,1,0,0,6,4,1,3,2,14,10.3,-24,0,-18,34.0666667,19.10684932
48,49,9,25,0.36,1,6,0.167,5,6,0.833,0,6,3,2,1,1,3,24,14.1,19,1,8,43.3,19.11232877
49,50,2,13,0.154,0,1,0,5,5,1,1,1,5,1,0,5,0,9,1.2,-12,0,-20,29.5333333,19.11780822
50,51,6,12,0.5,0,0,,4,4,1,2,2,9,0,1,5,2,16,13.2,-15,0,-16,33.65,19.1369863
51,52,14,23,0.609,0,0,,4,4,1,2,9,2,2,1,2,0,32,27.7,3,1,2,39.6166667,19.14246575
52,53,7,20,0.35,0,0,,8,12,0.667,1,4,3,1,0,1,2,22,12.4,11,1,6,43.7833333,19.14794521
53,54,7,16,0.438,1,5,0.2,6,6,1,0,4,6,2,5,1,3,21,21.3,4,1,4,36.6,19.15068493
54,55,5,18,0.278,0,2,0,1,3,0.333,2,5,5,2,1,2,1,11,6.3,-5,0,-6,38.6333333,19.15616438
55,56,11,19,0.579,1,1,1,7,8,0.875,1,10,3,3,1,5,1,30,24.8,7,1,5,49.2166667,19.16164384
56,57,7,17,0.412,0,2,0,4,6,0.667,0,3,3,4,1,3,2,18,12,-4,0,-11,40.8,19.16986301
57,58,9,17,0.529,1,2,0.5,5,6,0.833,1,6,3,1,1,1,0,24,20.6,22,1,32,27.6,19.17534247
58,59,7,17,0.412,2,2,1,3,4,0.75,2,4,4,2,0,4,5,19,10.9,1,1,3,37.7833333,19.18082192
59,60,11,24,0.458,0,3,0,2,3,0.667,2,5,10,4,1,2,3,24,22.6,9,1,9,42.7,19.18356164
60,61,11,23,0.478,1,4,0.25,11,13,0.846,2,4,7,1,0,2,1,34,27.6,11,1,6,45.1,19.1890411
61,62,4,13,0.308,0,0,,6,7,0.857,1,2,4,1,0,2,2,14,8.4,16,1,14,33.7666667,19.19452055
62,63,12,22,0.545,0,2,0,2,4,0.5,0,3,4,3,1,4,3,26,16.8,5,1,3,44.15,19.20547945
63,64,5,16,0.313,2,3,0.667,5,8,0.625,3,2,8,0,5,4,1,17,14,24,1,24,32.1333333,19.2109589
64,65,4,14,0.286,0,2,0,6,10,0.6,0,0,7,2,1,2,3,14,8.6,-2,0,-9,34.2666667,19.21917808
65,66,5,17,0.294,1,4,0.25,4,5,0.8,2,5,3,0,2,4,4,15,5.5,-21,0,-20,36.75,19.22465753
66,67,8,21,0.381,2,5,0.4,7,9,0.778,1,1,6,3,1,5,0,25,16.6,-12,0,-17,40.9666667,19.23013699
67,68,5,13,0.385,1,2,0.5,5,9,0.556,2,1,7,0,1,5,1,16,9.2,-24,0,-15,32.7666667,19.23835616
68,69,15,29,0.517,1,2,0.5,10,10,1,2,4,13,3,0,2,1,41,39,10,1,3,43.8,19.24109589
69,70,9,20,0.45,0,1,0,0,0,,0,2,4,0,1,2,0,18,9.7,-14,0,-8,31.6666667,19.24657534
70,71,13,22,0.591,0,2,0,2,4,0.5,1,4,6,4,0,3,2,28,23.3,-10,0,-17,42.0833333,19.24931507
71,72,9,19,0.474,0,0,,2,2,1,0,7,7,5,0,5,3,20,16.1,-13,0,-18,36.6333333,19.25753425
72,73,12,28,0.429,3,5,0.6,7,11,0.636,3,5,10,1,1,3,1,34,26.5,-3,0,-3,46.25,19.26027397
73,74,5,17,0.294,0,0,,11,14,0.786,1,5,4,3,0,3,2,21,14.1,2,0,-1,46,19.26849315
74,75,4,11,0.364,0,0,,6,7,0.857,0,3,5,3,0,2,4,14,11.3,-11,0,-18,36.5833333,19.27123288
75,76,6,14,0.429,1,1,1,11,15,0.733,1,6,8,1,0,8,2,24,15.3,-16,0,-15,42.2166667,19.27671233
76,77,4,11,0.364,0,2,0,2,5,0.4,1,2,11,0,0,2,3,10,8.5,14,0,-11,31.6333333,19.27945205
77,78,9,20,0.45,1,4,0.25,8,11,0.727,1,6,9,2,0,1,1,27,24.8,11,1,4,45.3,19.28493151
78,79,8,17,0.471,0,3,0,1,1,1,0,1,5,3,0,5,1,17,9.7,-6,1,10,35.0833333,19.29041096
79,80,8,19,0.421,2,5,0.4,10,12,0.833,1,4,8,1,3,6,2,28,20.9,-10,0,-5,50.9333333,19.84657534
80,81,9,22,0.409,2,3,0.667,1,1,1,3,3,8,1,0,1,0,21,17.8,-8,0,-6,42.3333333,19.84931507
81,82,8,20,0.4,0,3,0,15,22,0.682,2,6,6,3,0,4,0,31,23.8,-12,0,-14,41.8833333,19.85479452
82,83,8,17,0.471,1,4,0.25,8,12,0.667,1,9,4,4,2,3,2,25,22.5,14,1,14,48,19.8630137
83,84,13,24,0.542,1,2,0.5,11,12,0.917,3,7,6,3,3,3,1,38,36.1,14,1,5,48.35,19.86575342
84,85,10,20,0.5,0,3,0,4,5,0.8,1,8,4,3,2,4,0,24,19.9,25,1,31,13.4,19.8739726
85,86,12,22,0.545,3,5,0.6,6,8,0.75,2,10,4,2,1,1,1,33,30.1,15,1,11,41.9666667,19.87945205
86,87,8,14,0.571,2,3,0.667,1,2,0.5,1,5,9,0,0,1,3,19,18.3,21,1,17,29.1,19.88767123
87,88,11,20,0.55,0,2,0,3,4,0.75,5,3,2,3,1,7,0,25,17.5,24,1,16,37.8166667,19.89315068
88,89,5,15,0.333,1,3,0.333,2,3,0.667,2,7,10,1,1,5,3,13,10.1,1,0,-10,40.6833333,19.89589041
89,90,15,22,0.682,2,3,0.667,11,12,0.917,3,3,5,3,1,3,3,43,39.2,12,1,16,37.5,19.90410959
90,91,9,13,0.692,0,2,0,2,3,0.667,0,6,8,3,1,2,2,20,22.4,6,1,2,42.8,19.90958904
91,92,11,17,0.647,1,2,0.5,3,4,0.75,1,6,7,1,0,2,0,26,24.5,25,1,22,31.9166667,19.91232877
92,93,9,19,0.474,0,2,0,4,5,0.8,1,6,5,6,1,3,2,22,20.8,-16,0,-12,42.3166667,19.91780822
93,94,6,19,0.316,0,2,0,3,4,0.75,1,2,6,2,1,6,2,15,5.1,-17,0,-19,40.7833333,19.92328767
94,95,8,17,0.471,0,0,,1,2,0.5,1,7,9,2,1,5,3,17,13.5,23,1,19,41.1666667,19.9260274
95,96,10,17,0.588,1,3,0.333,6,7,0.857,0,6,10,2,1,3,2,27,26.4,15,1,8,42.8333333,19.93150685
96,97,11,22,0.5,0,1,0,5,6,0.833,0,2,8,3,0,3,4,27,20.2,6,1,6,46.0833333,19.93972603
97,98,5,15,0.333,0,2,0,9,12,0.75,0,2,6,1,1,4,2,19,11,-22,0,-28,37.3,19.94246575
98,99,10,19,0.526,1,3,0.333,2,2,1,3,3,10,4,0,3,2,23,23.9,-18,0,-19,41.2166667,19.95068493
99,100,14,22,0.636,1,3,0.333,2,4,0.5,0,5,8,7,0,3,2,31,30.7,10,1,6,45.8166667,19.95616438
100,101,10,18,0.556,2,3,0.667,3,3,1,2,9,7,3,2,3,1,25,26.4,18,1,24,37.15,19.96164384
101,102,4,21,0.19,0,2,0,3,5,0.6,1,8,7,4,1,3,2,11,6,-8,0,-12,45.0666667,19.96438356
102,103,12,25,0.48,3,5,0.6,4,8,0.5,1,4,4,3,1,4,6,31,18.7,-1,0,-7,40.5333333,19.96986301
103,104,10,18,0.556,0,1,0,6,8,0.75,0,6,12,1,0,2,2,26,25,13,1,10,43.1833333,19.97808219
104,105,7,18,0.389,1,1,1,8,10,0.8,1,8,9,1,0,4,2,23,18,-3,0,-2,42.6333333,19.98082192
105,106,7,16,0.438,0,1,0,8,9,0.889,1,8,14,4,1,5,2,22,25,8,1,9,44.6666667,19.99178082
106,107,13,25,0.52,3,5,0.6,11,14,0.786,1,8,7,1,0,1,2,40,33.7,8,1,9,46.3333333,19.99726027
107,108,0,5,0,0,1,0,3,5,0.6,0,3,5,0,0,0,0,3,3.1,-10,0,-11,17.3833333,20
108,109,11,19,0.579,0,3,0,4,6,0.667,2,6,6,2,0,1,3,26,23.5,14,1,11,40.3,20.0109589
109,110,7,14,0.5,2,5,0.4,4,6,0.667,1,5,9,1,1,2,4,20,18.8,10,1,16,39.65,20.01643836
110,111,10,14,0.714,0,0,,2,2,1,1,2,4,0,2,8,2,22,12.9,5,1,25,32.7,20.02465753
111,112,11,24,0.458,2,5,0.4,5,7,0.714,1,7,9,2,1,8,1,29,19.2,7,1,2,49.0333333,20.03287671
112,113,12,26,0.462,1,4,0.25,3,4,0.75,3,10,9,1,1,4,1,28,22.9,-1,0,-4,44.3333333,20.03835616
113,114,9,20,0.45,0,1,0,9,14,0.643,1,7,5,5,0,3,2,27,22.1,11,1,13,41.3,20.04383562
114,115,14,30,0.467,3,7,0.429,4,6,0.667,2,3,11,4,1,1,4,35,30.9,-7,0,-8,44.15,20.04657534
115,116,11,16,0.688,1,1,1,4,6,0.667,1,10,10,4,0,2,4,27,30.5,0,1,6,43.7833333,20.05479452
116,117,9,19,0.474,0,1,0,0,1,0,1,7,6,1,0,3,0,18,12.9,-24,0,-27,36.6166667,20.05753425
117,118,13,24,0.542,0,1,0,2,2,1,1,11,10,1,1,3,1,28,25.7,19,1,18,43.25,20.0630137
118,119,12,26,0.462,1,1,1,6,10,0.6,4,6,8,2,1,5,3,31,22.7,-9,0,-9,48,20.06849315
119,120,10,16,0.625,4,6,0.667,3,4,0.75,1,8,15,3,2,5,1,27,32,7,1,3,41.7833333,20.0739726
120,121,10,20,0.5,0,3,0,8,13,0.615,2,3,7,0,1,3,2,28,20.1,-3,0,-3,43.3333333,20.09041096
121,122,11,23,0.478,1,3,0.333,8,12,0.667,2,0,10,3,0,2,2,31,26.3,-8,0,-12,45.95,20.09589041
122,123,9,21,0.429,0,3,0,12,13,0.923,0,6,9,2,0,1,2,30,26.8,10,1,9,45.6,20.10136986
123,124,6,14,0.429,0,3,0,3,4,0.75,1,7,11,3,0,2,1,15,18.3,15,1,13,36.1666667,20.10958904
124,125,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,1,0,4,2,35,21.7,-13,0,-5,43.0833333,20.11780822
125,126,8,20,0.4,0,0,,9,10,0.9,2,6,9,3,1,3,3,25,22.8,9,1,14,45.7,20.12328767
126,127,11,20,0.55,2,2,1,4,5,0.8,0,5,6,3,0,3,0,28,23.7,27,1,22,37,20.13150685
127,128,10,19,0.526,1,2,0.5,5,6,0.833,2,5,8,1,0,2,0,26,23.8,-1,0,-6,41.0333333,20.13424658
128,129,8,17,0.471,1,1,1,10,15,0.667,1,5,11,5,0,3,2,27,27.4,7,1,9,44.3166667,20.15068493
129,130,9,25,0.36,0,1,0,3,4,0.75,3,4,5,2,1,2,0,21,14.2,-11,0,-24,40.4833333,20.15616438
130,131,9,20,0.45,1,2,0.5,9,10,0.9,1,3,7,2,0,5,4,28,19.1,-10,0,-6,45.0833333,20.16164384
131,132,6,22,0.273,1,4,0.25,7,10,0.7,1,7,7,0,0,2,3,20,10.3,2,0,-2,44.6833333,20.16438356
132,133,11,20,0.55,5,7,0.714,5,8,0.625,0,5,5,0,0,4,2,32,21.4,-7,0,-17,40.85,20.16986301
133,134,12,21,0.571,0,1,0,10,12,0.833,1,6,7,4,0,6,1,34,28.3,-10,0,-9,39.95,20.17534247
134,135,9,19,0.474,0,1,0,5,7,0.714,0,4,5,2,0,1,1,23,17.8,-17,0,-20,40.2333333,20.18082192
135,136,9,22,0.409,2,6,0.333,3,4,0.75,0,7,8,1,1,1,3,23,18,18,1,19,40.6166667,20.18630137
,,12,23,0.522,1,5,0.2,10,11,0.909,2,3,5,1,0,4,1,35,25.7,12,1,12,42.85,20.2
136,137,11,15,0.733,2,5,0.4,12,16,0.75,2,7,2,0,1,1,1,36,32.5,22,1,19,34.1833333,20.20547945
137,138,13,26,0.5,4,9,0.444,4,7,0.571,1,6,6,1,0,5,0,34,22.5,-14,0,-8,45.1166667,20.20821918
138,139,3,20,0.15,0,4,0,10,12,0.833,0,8,8,4,0,4,0,16,10.4,-8,0,-12,46,20.21369863
139,140,18,36,0.5,6,12,0.5,14,15,0.933,2,8,5,2,0,4,0,56,42.9,-7,0,-7,48,20.21917808
140,141,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,1,0,0,1,29,22.4,21,1,15,42.9333333,20.22465753
141,142,7,22,0.318,1,4,0.25,4,7,0.571,0,4,8,1,0,2,1,19,10.6,-17,0,-19,41.7833333,20.23013699
142,143,7,17,0.412,0,2,0,5,6,0.833,1,3,6,0,0,3,1,19,11.9,-24,0,-31,35.65,20.23561644
143,144,16,29,0.552,3,10,0.3,9,11,0.818,2,4,3,4,0,10,3,44,26.8,1,1,1,53,20.24109589
144,145,7,20,0.35,2,8,0.25,6,7,0.857,0,7,5,2,1,1,0,22,17.7,11,1,10,40.7833333,20.24383562
145,146,10,28,0.357,1,4,0.25,5,11,0.455,4,2,7,4,2,3,5,26,16.7,-12,0,-12,53,20.24931507
146,147,13,21,0.619,2,4,0.5,7,10,0.7,0,8,9,2,0,7,2,35,27.2,-15,0,-19,44.15,20.25205479
147,148,10,23,0.435,4,8,0.5,13,13,1,2,8,7,2,1,6,3,37,29.1,20,1,20,48,20.25753425
148,149,9,19,0.474,3,6,0.5,3,6,0.5,2,7,4,2,2,6,2,24,16,-21,0,-31,39.8333333,20.2630137
149,150,9,18,0.5,0,3,0,2,4,0.5,2,2,3,1,0,2,2,20,12.5,-15,0,-21,33.2833333,20.26575342
150,151,12,30,0.4,2,6,0.333,11,11,1,4,9,7,5,0,5,1,37,30.8,-5,0,-5,48,20.27123288
151,152,15,26,0.577,7,13,0.538,3,3,1,1,9,10,2,1,3,2,40,37.1,13,1,17,46.5833333,20.2739726
152,153,12,23,0.522,1,6,0.167,8,10,0.8,1,6,6,5,1,2,4,33,29.7,8,1,8,48,20.27945205
153,154,7,25,0.28,4,13,0.308,9,14,0.643,1,17,7,2,2,4,3,27,19.2,1,0,-6,41.5166667,20.28767123
154,155,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,1,0,1,3,38,25.7,-8,0,-8,48,20.29041096
155,156,12,35,0.343,2,7,0.286,11,14,0.786,3,8,6,0,1,1,0,37,24.5,-6,0,-3,45.2,20.29589041
156,157,13,27,0.481,2,3,0.667,4,5,0.8,1,7,6,5,0,3,3,32,25.7,13,1,14,46.1,20.30136986
157,158,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,0,1,2,1,27,26,9,1,9,48,20.30410959
158,159,9,16,0.563,6,7,0.857,7,8,0.875,1,2,4,2,0,3,3,31,24.9,22,1,22,33.3833333,20.84109589
159,160,7,16,0.438,0,3,0,6,7,0.857,0,6,4,0,1,3,3,20,12.3,-19,0,-26,36.5666667,20.84657534
160,161,14,29,0.483,4,9,0.444,4,5,0.8,0,2,6,2,0,2,2,36,24.9,-3,0,-7,40.85,20.84931507
161,162,9,17,0.529,0,2,0,9,12,0.75,0,3,6,1,2,1,3,27,22.8,0,1,12,36.4666667,20.85479452
162,163,10,18,0.556,0,2,0,11,11,1,1,4,1,0,1,4,1,31,21.3,25,1,27,35.6333333,20.86027397
163,164,5,11,0.455,0,1,0,6,6,1,1,5,2,3,1,3,5,16,12.6,24,1,19,25.6666667,20.86575342
164,165,9,20,0.45,1,4,0.25,7,11,0.636,0,5,3,0,1,2,2,26,15.5,7,1,8,48.9,20.87123288
165,166,15,23,0.652,2,3,0.667,5,5,1,1,9,4,0,2,3,1,37,31.1,17,1,15,42.4333333,20.87671233
166,167,6,17,0.353,0,3,0,4,6,0.667,1,5,4,2,0,4,2,16,7.9,25,1,18,33.9333333,20.88493151
167,168,14,24,0.583,0,2,0,8,10,0.8,2,9,10,1,1,5,1,36,31.4,8,1,3,46.85,20.88767123
168,169,13,20,0.65,1,3,0.333,9,11,0.818,0,5,4,2,2,1,4,36,31.5,14,1,22,40.9833333,20.89589041
169,170,6,20,0.3,0,4,0,7,11,0.636,1,9,4,5,1,6,4,19,10.1,-18,0,-22,43.0333333,20.90136986
170,171,13,29,0.448,6,11,0.545,6,6,1,2,3,2,4,0,2,2,38,27.8,-3,0,-4,44.0666667,20.90684932
171,172,7,20,0.35,0,3,0,14,17,0.824,0,7,9,1,1,6,1,28,19.3,6,1,7,49.9333333,20.91780822
172,173,14,27,0.519,0,5,0,6,8,0.75,0,3,8,1,3,1,1,34,28.1,-2,0,-7,45.1166667,20.92328767
173,174,8,25,0.32,3,5,0.6,11,14,0.786,0,5,6,1,1,1,3,30,19.7,-11,0,-12,44.6833333,20.9260274
174,175,10,23,0.435,1,5,0.2,9,12,0.75,2,4,6,2,3,5,2,30,21.8,3,1,5,44.3166667,20.93424658
175,176,11,26,0.423,0,4,0,10,15,0.667,2,4,3,0,1,7,3,32,13.4,-4,0,-9,44.8166667,20.94246575
176,177,19,29,0.655,5,9,0.556,9,10,0.9,0,7,7,2,0,3,5,52,42.9,-3,0,-5,42.8,20.94520548
177,178,13,23,0.565,3,6,0.5,10,16,0.625,0,10,6,2,0,6,5,39,26.9,-4,0,-6,45.1333333,20.95342466
178,179,11,18,0.611,1,4,0.25,3,6,0.5,0,4,9,1,0,3,3,26,20.9,16,1,9,45.1,20.95890411
179,180,12,19,0.632,2,4,0.5,15,16,0.938,0,5,10,1,0,4,3,41,36.4,9,1,8,46.3833333,20.96438356
180,181,8,12,0.667,1,1,1,8,9,0.889,2,4,4,3,2,5,1,25,23.8,20,1,25,28.9166667,20.97260274
181,182,12,25,0.48,4,6,0.667,9,13,0.692,0,5,6,4,0,2,2,37,29.6,15,1,8,43.85,20.97808219
182,183,4,16,0.25,0,1,0,6,11,0.545,1,7,9,1,0,3,1,14,9.1,1,1,5,43.85,20.98082192
183,184,12,25,0.48,0,5,0,8,12,0.667,1,7,6,2,2,2,0,32,26.1,14,1,11,44.9666667,20.9890411
184,185,12,21,0.571,1,5,0.2,6,9,0.667,1,9,8,2,0,4,3,31,25.7,-2,0,-5,40.3,20.99178082
185,186,11,22,0.5,2,5,0.4,6,7,0.857,1,6,7,4,1,5,2,30,24.9,5,1,13,44.55,21.00273973
186,187,12,29,0.414,2,8,0.25,6,7,0.857,2,9,11,5,1,4,1,32,29.2,8,1,7,45.7,21.01369863
187,188,13,19,0.684,3,7,0.429,3,6,0.5,1,8,5,1,0,3,4,32,25.7,-10,0,-9,44.25,21.01643836
188,189,14,22,0.636,3,7,0.429,4,9,0.444,2,5,6,0,1,0,1,35,30.6,4,1,8,45.2,21.02191781
189,190,14,31,0.452,0,7,0,8,11,0.727,0,7,7,0,1,1,0,36,25.4,-2,0,-8,46,21.03013699
190,191,11,22,0.5,2,3,0.667,4,9,0.444,0,2,9,0,0,5,2,28,16.1,5,0,-1,40.1,21.03561644
191,192,18,28,0.643,5,8,0.625,5,5,1,0,7,8,1,0,1,1,46,40.9,-5,0,-9,43.75,21.04109589
192,193,10,26,0.385,1,5,0.2,8,11,0.727,2,11,7,1,3,2,3,29,23.1,12,0,-2,41.3166667,21.04383562
193,194,7,20,0.35,2,6,0.333,8,15,0.533,2,9,9,0,0,2,5,24,16.4,-3,0,-1,41.5833333,21.05205479
194,195,5,22,0.227,0,3,0,4,6,0.667,1,8,6,0,0,6,3,14,-0.1,-9,0,-20,35.2,21.05753425
195,196,19,35,0.543,4,8,0.5,9,11,0.818,0,5,8,2,0,3,4,51,37.8,20,1,18,42.7833333,21.06027397
196,197,7,21,0.333,2,5,0.4,7,10,0.7,0,7,8,2,2,1,0,23,20,33,1,30,35.3666667,21.06849315
197,198,11,22,0.5,1,5,0.2,15,20,0.75,1,8,6,3,1,5,2,38,30.2,10,1,9,45.9,21.07123288
198,199,12,23,0.522,1,2,0.5,5,8,0.625,1,6,9,3,1,6,1,30,23.6,4,1,4,45.1,21.07671233
199,200,17,33,0.515,3,7,0.429,7,12,0.583,1,10,7,1,1,6,1,44,29.6,5,1,7,42.75,21.08219178
200,201,11,19,0.579,2,6,0.333,6,11,0.545,1,5,6,5,1,4,2,30,26.4,30,1,12,31.5666667,21.08493151
201,202,8,21,0.381,0,2,0,10,12,0.833,0,11,10,1,1,4,2,26,20.9,5,1,6,44.4333333,21.09041096
202,203,12,29,0.414,2,5,0.4,3,3,1,1,4,7,1,0,1,0,29,20.3,-15,0,-28,39.3,21.09315068
203,204,10,17,0.588,2,7,0.286,9,10,0.9,2,2,6,2,1,4,0,31,27.6,-7,0,-5,47.1833333,21.09863014
204,205,9,20,0.45,2,7,0.286,2,4,0.5,0,9,12,0,2,4,4,22,17.7,-3,1,3,45.35,21.10410959
205,206,11,34,0.324,1,5,0.2,12,17,0.706,1,10,8,1,0,0,3,35,22.7,10,1,6,45.6333333,21.10958904
206,207,6,23,0.261,0,3,0,6,8,0.75,1,8,8,1,0,2,2,18,10.4,-13,0,-12,45.3833333,21.11506849
207,208,10,17,0.588,5,6,0.833,8,8,1,1,4,6,1,2,2,5,33,29.6,-15,0,-8,43.8,21.11780822
208,209,19,33,0.576,1,3,0.333,5,8,0.625,2,1,5,4,0,2,0,44,34.5,12,1,14,40.7166667,21.12328767
209,210,16,32,0.5,0,5,0,11,15,0.733,1,11,11,2,4,2,5,43,37.9,5,1,4,53.9166667,21.12876712
210,211,10,24,0.417,1,5,0.2,5,7,0.714,0,2,9,1,2,2,0,26,19.7,21,1,13,42.85,21.14520548
211,212,13,24,0.542,1,4,0.25,6,10,0.6,3,3,5,2,1,6,3,33,21.8,-7,0,-9,43.1166667,21.14794521
212,213,7,21,0.333,3,8,0.375,8,19,0.421,0,7,9,1,0,4,2,25,13.3,-8,0,-8,47.7666667,21.15342466
213,214,9,20,0.45,2,3,0.667,2,3,0.667,1,8,7,0,0,3,3,22,15,-17,0,-12,37.7666667,21.15890411
