,G,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,GmSc,"""+/-""",Win,Winby,minutes,age_y
1341,1342,11,20,0.55,3,7,0.429,0,2,0,0,10,6,2,3,5,2,25,20.1,-16,0,-14,38.8833333,33.1890411
1342,1343,9,20,0.45,2,8,0.25,4,5,0.8,2,8,7,1,1,2,0,24,21.6,-13,0,-14,31.45,33.19452055
1343,1344,7,14,0.5,1,2,0.5,13,15,0.867,0,12,11,3,2,5,2,28,30.1,23,1,22,33.2166667,33.2
1344,1345,15,25,0.6,1,4,0.25,4,9,0.444,0,14,6,2,3,6,4,35,26.4,-3,0,-8,41.0833333,33.20547945
1345,1346,15,26,0.577,2,8,0.25,1,4,0.25,1,12,12,1,2,6,3,33,27.5,-4,1,5,39.8833333,33.2109589
1346,1347,16,29,0.552,3,7,0.429,5,8,0.625,5,7,10,2,1,6,2,40,33.4,4,1,7,40.0166667,33.21643836
1347,1348,11,19,0.579,1,3,0.333,12,14,0.857,1,6,17,1,0,0,2,35,39.9,12,1,3,39.4,33.22191781
1348,1349,11,16,0.688,1,4,0.25,4,6,0.667,0,6,9,1,1,4,3,27,24,11,1,25,29.2666667,33.22739726
1349,1350,14,19,0.737,1,4,0.25,8,10,0.8,2,8,8,1,0,2,3,37,35.7,11,1,7,38.05,33.23287671
1350,1351,7,18,0.389,0,4,0,4,5,0.8,1,5,7,0,0,6,1,18,8.5,-19,0,-19,37.9833333,33.23835616
1351,1352,14,26,0.538,4,8,0.5,9,11,0.818,2,8,8,1,0,4,1,41,33.6,21,1,13,36.8833333,33.24109589
1352,1353,12,24,0.5,0,4,0,3,3,1,1,8,11,1,0,1,0,27,25.8,16,1,5,41.75,33.24657534
1353,1354,5,21,0.238,2,3,0.667,4,4,1,3,10,12,0,0,2,1,16,14.4,7,1,11,38.5333333,33.25205479
1354,1355,8,14,0.571,3,6,0.5,8,11,0.727,0,10,6,0,0,5,2,27,20.6,12,1,6,37.2666667,33.25753425
1355,1356,12,20,0.6,2,7,0.286,7,10,0.7,2,7,14,0,0,6,2,33,29.1,13,1,4,38.8,33.2630137
1356,1357,17,29,0.586,4,8,0.5,6,11,0.545,1,10,11,2,1,8,0,44,34.6,7,0,-2,40.1833333,33.26575342
1357,1358,7,16,0.438,3,6,0.5,9,10,0.9,0,6,11,1,0,4,2,26,22.9,14,1,14,38.6333333,33.2739726
1358,1359,4,9,0.444,0,2,0,2,3,0.667,1,4,2,1,0,3,0,10,6.2,5,0,-12,10.55,33.27945205
1359,1360,7,17,0.412,0,4,0,10,14,0.714,3,7,12,1,1,3,2,24,23.8,-13,0,-18,43.9333333,33.29041096
1360,1361,17,24,0.708,2,5,0.4,10,13,0.769,1,11,5,2,0,3,1,46,40.9,7,1,3,39.8833333,33.29863014
1361,1362,10,22,0.455,4,7,0.571,4,6,0.667,3,9,8,1,1,6,1,28,21.5,-1,0,-2,41.6833333,33.30410959
1362,1363,12,22,0.545,0,5,0,8,9,0.889,2,11,7,0,2,1,3,32,29.8,3,1,4,46.15,33.30958904
1363,1364,14,24,0.583,1,4,0.25,15,15,1,3,7,8,1,1,5,3,44,38.1,2,1,3,41.8166667,33.31780822
1364,1365,7,16,0.438,3,6,0.5,5,5,1,0,5,7,1,2,4,3,22,17.2,-24,0,-34,31.1833333,33.32328767
1365,1366,16,25,0.64,2,3,0.667,11,15,0.733,2,6,7,4,0,4,4,45,38.8,-2,1,4,43.4166667,33.32876712
1366,1367,12,30,0.4,1,8,0.125,1,6,0.167,0,11,13,1,2,1,2,26,20.8,5,1,1,46.9333333,33.33424658
1367,1368,19,28,0.679,1,3,0.333,4,8,0.5,1,7,14,1,0,1,1,43,41.6,20,1,18,40.5,33.33972603
1368,1369,14,26,0.538,1,4,0.25,9,11,0.818,1,5,7,3,1,4,1,38,31,2,1,2,41.2666667,33.34520548
1369,1370,12,19,0.632,0,3,0,5,8,0.625,0,8,11,2,1,2,2,29,29.3,28,1,35,38.4,33.35068493
1370,1371,5,16,0.313,0,5,0,5,6,0.833,0,7,9,0,2,7,1,15,7.8,-32,0,-25,36.1166667,33.36712329
